GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
notification-service,com.quind.ecommerce.notification.infrastructure.persistence.mongo,NotificationRepositoryAdapter,71,0,4,0,23,0,5,0,3,0
notification-service,com.quind.ecommerce.notification,NotificationServiceApplication,8,0,0,0,3,0,2,0,2,0
notification-service,com.quind.ecommerce.notification.infrastructure.web.mapper,NotificationMapper,21,0,0,0,8,0,2,0,2,0
notification-service,com.quind.ecommerce.notification.infrastructure.messaging,KafkaNotificationListener,146,0,7,0,36,0,12,0,7,0
notification-service,com.quind.ecommerce.notification.infrastructure.web,NotificationController,7,0,0,0,2,0,1,0,1,0
notification-service,com.quind.ecommerce.notification.application.service,NotificationService,1,53,2,2,0,13,2,4,0,4
